"AuthorWithMostCoAuthors	"
 Adrian J. Thrasher 
 Agnieszka Bierzynska 
 Alex Richter 
 Ali G. Gharavi 
 Allan Lawrie 
 Andrew O. M. Wilkie 
 Andrew Peacock 
 Anna M. Drazyk 
 Anne M. Kelly 
 Anthony Rogers 
 Anthony T. Moore 
 Antony J. Cutler 
 Arjan C. Houweling 
 Bas Tolhuis 
 Brian T. Wilson 
 Camilla Colombo 
 Arthur W. Toga 
 Chiara Bacchelli 
 James S. Ware 
 Chris Van Geet 
 Christopher J. Rhodes 
 Christopher Watt 
 Claire Searle 
 Dafydd Gareth Evans 
 Daniel Hart 
 Daniel P. Gale 
 David Gosal 
 David Montani 
 David Parry 
 David R. Bentley 
 David Thomas 0004 
 Deborah M. Ruddy 
 Deborah Whitehorn 
 Detlef Bockenhauer 
 Dragana Josifova 
 Edwin K. S. Wong 
 Eleanor F. Dewhurst 
 Eleni Louka 
 Ewan Birney 
 Elizabeth Drewe 
 Emilia M. Swietlik 
 Emma Matthews 
 Eshika Haque 
 Fengyuan Hu 
 Fiona Lalloo 
 Gabor Kovacs 
 Genevieve Sayer 
 Gerald Carr-White 
 Grant Hayman 
 Hanadi Kazkaz 
 Amos Bairoch 
 Heather Maxwell 
 Helen L. Hanson 
 Henning Gall 
 Mark I. McCarthy 
 Achim Stößl 
 Achim Stößl 
 Alexander Kappes 
 Ilenia Simeoni 
 Alexander Kappes 
 Iulia Blesneac 
 J. David M. Edgar 
 Anatoli Fedynitch 
 Anatoli Fedynitch 
 Andreas Groß 
 Andreas Groß 
 Andreas Homeier 
 James E. Thaventhiran 
 Andreas Homeier 
 James Fox 
 Radu Timofte 
 Anna Franckowiak 
 Dawei Du 
 Anna Franckowiak 
 Anna Kriesten 
 Jay Suntharalingam 
 Dawei Du 
 Anna Kriesten 
 Arthur W. Toga 
 Anne Schukraft 
 Anne Schukraft 
 Jennifer Martin 
 Chunhui Zhang 
 Arne Schönwald 
 Jenny C. Taylor 
 Arne Schönwald 
 Arne Van Overloop 
 Arne Van Overloop 
 Jesmeen Maimaris 
 Benedikt Riedel 
 Jill Clayton-Smith 
 Abdelrahman Eldesokey 
 H. Vincent Poor 
 Joan Paterson 
 Bakhtiyar Ruzybayev 
 Joana Batista 
 Alan J. Knox 
 Bakhtiyar Ruzybayev 
 Chao Li 
 John R. Bradley
